,0
0,287.4251780151801
1,281.5031949394683
2,280.65107295019675
3,280.37364294418006
4,279.1577571296568
5,277.9863953475526
6,277.3688803121803
7,277.0177538089829
8,277.0151527268025
9,278.2004522797302
10,277.4124459941697
11,276.8301738378706
12,276.6224763184805
13,275.3880511486124
14,274.3900445052494
15,273.8073662914063
16,274.47941444828746
17,274.14424059787575
18,273.6514089156143
19,274.16457585060033
20,274.60178857012386
21,276.05331553244827
22,274.6661883607489
23,274.00355990322356
24,273.8314121616933
25,272.63650226995014
26,272.1773238652017
27,271.93234789029725
28,271.2018252690381
29,271.6467474072331
