,0
0,282.32441361850624
1,281.05969783584453
2,280.52127341302287
3,280.3854260692457
4,278.7886237010737
5,277.4076302796576
6,276.98965096914657
7,276.6435532520016
8,276.6440000076931
9,277.9607537746366
10,277.1849947748871
11,276.49418905124276
12,276.3236341348711
13,274.94451322730396
14,273.91672845945584
15,273.3748636853534
16,274.0824252687889
17,273.73346886772754
18,273.2687480270465
19,273.870708492292
20,274.38287440214003
21,275.8751892701997
22,274.38793167367146
23,273.7893412972558
24,273.5182087505095
25,272.27866566163897
26,271.8503601912596
27,271.5435517439523
28,270.82108316196184
29,271.30316360840374
