,time
0,310.4960398674011
1,317.20934104919434
2,317.76399540901184
3,315.3530867099762
4,317.2858521938324
5,318.6401252746582
6,316.2159471511841
7,318.7485055923462
8,289.6952724456787
9,292.0998957157135
10,289.5667850971222
11,291.3992464542389
12,290.3602645397186
13,291.2829706668854
14,290.1800048351288
15,283.84582448005676
16,286.82285356521606
17,289.07293796539307
18,284.5780291557312
19,288.7156331539154
20,288.98507595062256
21,288.6285717487335
22,288.13574147224426
23,292.4955871105194
24,287.3265953063965
25,284.95451307296753
26,284.9134695529938
27,283.539981842041
28,284.09969902038574
29,281.33856105804443
