,0
0,285.62892013745807
1,283.6302979122336
2,282.2791957722602
3,281.32751798197864
4,279.2401403775549
5,277.4405409881931
6,276.4101907019737
7,275.7467988465278
8,275.7668641184433
9,277.5076461884746
10,276.7066388015258
11,275.99599132360345
12,275.8005925142483
13,274.2332252048127
14,272.78669018404867
15,271.94603525736824
16,272.67878418130005
17,272.4433841111342
18,271.92585806752345
19,272.57210374608036
20,273.4641927231913
21,275.6230944448485
22,274.1320182933849
23,273.2776670168854
24,272.9525969122495
25,271.3702494353518
26,270.443535896718
27,270.07218025973657
28,269.0701865406739
29,269.52726837216636
