,0
0,287.4251780151801
1,284.89796975942903
2,283.2381203657585
3,282.1226432957248
4,280.0413588970224
5,278.3661196358539
6,277.2584637155807
7,276.29521323138385
8,275.99324683650485
9,277.18945317124604
10,276.7817755024619
11,276.17014743626567
12,275.9137613963745
13,274.6696972389721
14,273.43253181942305
15,272.43568193503984
16,272.82802188989785
17,272.48880475420765
18,272.071468729094
19,272.5866958056269
20,273.1229211935368
21,274.96204027332243
22,274.18185003540134
23,273.49299834377064
24,273.16017091563805
25,271.83854163548926
26,271.04510695662754
27,270.3287620097145
28,269.4246504639895
29,269.64452245158816
