,time
0,152.72115778923035
1,151.3218550682068
2,143.22981572151184
3,140.8723452091217
4,156.52605080604553
5,152.28127074241638
6,142.67599964141846
7,142.78056716918945
8,144.70647287368774
9,143.68820905685425
10,143.7116677761078
11,144.9167718887329
12,144.58434677124023
13,143.7664668560028
14,145.8161051273346
15,143.60921692848206
16,145.60474562644958
17,146.3201401233673
18,143.15372276306152
19,146.77919554710388
20,145.23967337608337
21,153.47799515724182
22,151.0117483139038
23,157.89628720283508
24,159.73260045051575
25,149.90379810333252
26,151.59588623046875
27,146.7956564426422
28,154.283185005188
29,153.0787341594696
