,time
0,0.13904404640197754
1,0.10181641578674316
2,0.11433672904968262
3,0.10493063926696777
4,0.10777425765991211
5,0.12275218963623047
6,0.1132042407989502
7,0.11168646812438965
8,0.1188511848449707
9,0.11391520500183105
10,0.10719513893127441
11,0.11067318916320801
12,0.11151456832885742
13,0.11289811134338379
14,0.11412715911865234
15,0.13892626762390137
16,0.11801934242248535
17,0.11795186996459961
18,0.11368870735168457
19,0.11201095581054688
20,0.11213278770446777
21,0.126021146774292
22,0.14641904830932617
23,0.13335776329040527
24,0.13071465492248535
25,0.12422990798950195
26,0.11259293556213379
27,0.11833357810974121
28,0.11878085136413574
29,0.11800098419189453
