,0
0,282.68467162862737
1,295.53692955271885
2,307.2845454675296
3,313.0336624901859
4,314.18303872059005
5,313.8302105960872
6,315.3896241224965
7,315.8832751371118
8,315.85378649762987
9,317.0900036350291
10,316.8224799651335
11,316.88234303781024
12,317.2609603289272
13,316.99897220813443
14,317.6705205804294
15,318.67054325149775
16,320.3844375129366
17,321.27353904452235
18,321.88213537254427
19,323.04881610948064
20,324.5830077470291
21,326.98843003515617
22,326.53873063418274
23,326.86203032482115
24,327.39088479976755
25,327.2586533921343
26,327.88802874903024
27,328.4078503847858
28,328.4663830311441
29,329.6129794510644
