,0
0,285.2384854854061
1,283.1060201847912
2,281.7350013516269
3,280.81846548577283
4,278.7247018274895
5,276.90583987137467
6,275.89920541149405
7,275.3074732471762
8,275.4335667436885
9,277.3642684701581
10,276.60678594500615
11,275.8934686397539
12,275.7132190265038
13,274.0757155640656
14,272.5524325650311
15,271.6870264841877
16,272.5024199805697
17,272.31902448341924
18,271.81351335759064
19,272.50288617243854
20,273.47767583731616
21,275.7705398506293
22,274.2064410851797
23,273.2770621946576
24,272.9077644468838
25,271.24199398578975
26,270.27169992254676
27,269.9063314798383
28,268.8720653941226
29,269.37478792155576
