,time
0,171.31712126731873
1,170.4489517211914
2,171.5450508594513
3,170.7627658843994
4,171.20175528526306
5,170.78978419303894
6,172.73383164405823
7,170.75567889213562
8,170.9219527244568
9,170.24457693099976
10,168.66179728507996
11,166.44750905036926
12,169.5169060230255
13,170.19817399978638
14,170.55773663520813
15,169.32923412322998
16,170.518812417984
17,170.07673358917236
18,170.6953136920929
19,167.92347359657288
20,169.7695095539093
21,169.98461389541626
22,172.3642978668213
23,169.97080302238464
24,169.93516969680786
25,169.2310426235199
26,171.10403203964233
27,167.90893459320068
28,168.73611903190613
29,167.54839992523193
