,0
0,287.4251780151801
1,281.5191965240598
2,280.62906125707536
3,280.15110850938896
4,278.6363022036296
5,277.2017267513116
6,276.4394472879571
7,275.7979537402736
8,275.64333589397194
9,276.8185481515763
10,276.39281893078925
11,275.8904960212759
12,275.7401465355028
13,274.50195659674574
14,273.35818892206186
15,272.53534264227886
16,272.9665173436879
17,272.60089735951425
18,272.13124855828227
19,272.6178432713633
20,273.1779967162274
21,274.87051476278316
22,273.8705676237952
23,273.1871236229866
24,272.9923166590884
25,271.65009604904975
26,271.0463032672033
27,270.51072009797946
28,269.41234294412044
29,269.50912534787636
