,time
0,16.288193464279175
1,16.549670696258545
2,16.18491816520691
3,16.073569536209106
4,16.11754560470581
5,16.087790966033936
6,16.160207986831665
7,16.30513906478882
8,16.2081036567688
9,16.14417839050293
10,16.669681787490845
11,16.6878719329834
12,16.20552349090576
13,16.28372359275818
14,16.045448780059814
15,16.105785369873047
16,16.16074013710022
17,16.10543704032898
18,16.1988468170166
19,16.03181290626526
20,16.187370538711548
21,16.061488389968872
22,16.194685697555542
23,16.05044651031494
24,16.345378160476685
25,16.06961727142334
26,16.391199350357056
27,16.387662172317505
28,16.114426851272583
29,16.199406147003174
