,0
0,287.4251780151801
1,284.87219743798727
2,283.15576374488217
3,281.92945899548903
4,279.9191463471144
5,278.14682409044906
6,277.06544553550015
7,276.16535494755755
8,275.7568091615272
9,276.8980163552326
10,276.56373062866203
11,276.05851875685266
12,275.81666368671677
13,274.590548279498
14,273.3510802764339
15,272.4302163970168
16,272.780006935673
17,272.4848544840659
18,272.10189882512026
19,272.65870064604974
20,273.22837676594696
21,275.0547803386299
22,274.23108397829975
23,273.51367592198665
24,273.245582924854
25,271.7542672098398
26,271.06023747435125
27,270.4095588971682
28,269.23335941137776
29,269.29599576458014
