r,infla,run_folder,data_dir,n_cycles,TG1_avg,TG1_min,UG1_avg,UG1_min,VG1_avg,VG1_min,TRG1_avg,TRG1_min,PSG1_avg,PSG1_min,overall_avg
1,1.0,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_100,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_100/case1_linear/data,0,,,,,,,,,,,
1,1.15,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_115,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_115/case1_linear/data,0,,,,,,,,,,,
1,1.3,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_130,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_130/case1_linear/data,0,,,,,,,,,,,
1,1.45,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_145,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_145/case1_linear/data,0,,,,,,,,,,,
1,1.6,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_160,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_1_1_160/case1_linear/data,0,,,,,,,,,,,
2,1.0,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_100,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_100/case1_linear/data,0,,,,,,,,,,,
2,1.15,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_115,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_115/case1_linear/data,0,,,,,,,,,,,
2,1.3,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_130,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_130/case1_linear/data,0,,,,,,,,,,,
2,1.45,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_145,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_145/case1_linear/data,0,,,,,,,,,,,
2,1.6,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_160,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_2_1_160/case1_linear/data,0,,,,,,,,,,,
3,1.0,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_100,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_100/case1_linear/data,0,,,,,,,,,,,
3,1.15,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_115,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_115/case1_linear/data,0,,,,,,,,,,,
3,1.3,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_130,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_130/case1_linear/data,0,,,,,,,,,,,
3,1.45,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_145,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_145/case1_linear/data,0,,,,,,,,,,,
3,1.6,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_160,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_3_1_160/case1_linear/data,0,,,,,,,,,,,
4,1.0,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_100,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_100/case1_linear/data,0,,,,,,,,,,,
4,1.15,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_115,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_115/case1_linear/data,0,,,,,,,,,,,
4,1.3,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_130,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_130/case1_linear/data,0,,,,,,,,,,,
4,1.45,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_145,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_145/case1_linear/data,0,,,,,,,,,,,
4,1.6,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_160,/gpfs/home/ea25e/SPEEDY-f77/runs/t21_80_0.05_30_LETKF_4_1_160/case1_linear/data,0,,,,,,,,,,,
