,0
0,287.5796164851539
1,285.6604029622157
2,283.83161923431817
3,282.0923838032026
4,279.6237550829477
5,278.1753540300813
6,277.0346346504631
7,276.41186837985276
8,276.3040137199437
9,277.87299870329565
10,276.5037047756812
11,275.6084478133703
12,275.0287350150843
13,273.79764089880496
14,272.47633795239227
15,272.06813313098826
16,273.19263855217986
17,272.9743169654574
18,272.41381022441124
19,272.5895839966902
20,272.9142589419203
21,275.3507065597411
22,273.6821122194536
23,272.69364355472743
24,272.2717678198879
25,270.51896315987824
26,269.47773386733473
27,269.0887981124925
28,267.97799037730994
29,268.7261750004971
