,0
0,287.6651739042517
1,285.78004478333395
2,284.03898774712377
3,282.085764144564
4,279.4743272386389
5,277.80979522695816
6,276.82869236274485
7,276.36705419314296
8,276.40562252486944
9,277.83350759259497
10,276.4841579984551
11,275.47170420746806
12,275.04942268946667
13,273.6811208564841
14,272.37926375345023
15,271.9982027874577
16,273.12654787280167
17,272.81216550614784
18,272.3282711034528
19,272.5474771637222
20,272.99913412434205
21,275.3133184607397
22,273.5248149099987
23,272.52356697666517
24,272.06193587921604
25,270.3117169141009
26,269.4151897970658
27,269.0247911970712
28,267.997981913419
29,268.79075332144146
