,time
0,9.79399585723877
1,9.486234188079834
2,9.43960452079773
3,9.468858480453491
4,9.524793148040771
5,9.667386293411255
6,9.488087177276611
7,9.656607627868652
8,9.5003662109375
9,9.538612127304077
10,9.565792083740234
11,9.546783208847046
12,9.510618686676025
13,9.451460599899292
14,9.439326524734497
15,9.493396759033203
16,9.476490497589111
17,9.515017747879028
18,9.497737407684326
19,9.46724009513855
20,9.524752616882324
21,9.558056831359863
22,9.487648725509644
23,9.555850744247437
24,9.404786825180054
25,9.662874221801758
26,9.540119886398315
27,9.62602949142456
28,9.552103519439697
29,9.721907615661621
